,theme_id,theme_name,parent_id,set_name,year,num_parts
9065,408,LEGO Brand Store,,"The Brick Apple (LEGO Store Grand Opening Set, Rockefeller Center, New York, NY)",2010,133
9066,53,Airport,52.0,Mini Airplane,2010,34
9067,196,Kingdoms,186.0,Wizard,2010,19
9068,502,Game,501.0,Meteor Strike,2010,185
9069,501,Gear,,Stormtrooper Alarm Clock,2010,0
9070,505,Basic Set,504.0,Basic Bricks,2010,45
9071,403,Villains,400.0,Xplode,2010,45
9072,505,Basic Set,504.0,Building Fun,2010,81
9073,403,Villains,400.0,Meltdown,2010,50
9074,403,Villains,400.0,Corroder,2010,40
9075,403,Villains,400.0,Thunder,2010,47
9076,502,Game,501.0,Harry Potter: Hogwarts,2010,332
9077,403,Villains,400.0,Rotor,2010,145
9078,502,Game,501.0,Golden Die [TRU Exclusive],2010,7
9079,501,Gear,,Harry Potter: Years 1-4 - PS3,2010,0
9080,502,Game,501.0,Universe - PC CD-ROM,2010,0
9081,501,Gear,,Harry Potter: Years 1-4 - Xbox 360,2010,0
9082,501,Gear,,Harry Potter: Years 1-4 - DS,2010,0
9083,501,Gear,,Harry Potter: Years 1-4 - Wii,2010,0
9084,505,Basic Set,504.0,Basic Bricks Large,2010,60
9085,502,Game,501.0,Atlantis Treasure,2010,280
9086,505,Basic Set,504.0,Deluxe Brick Box,2010,102
9087,211,Castle,207.0,Castle Advent Calendar 2010 (Kingdoms),2010,167
9088,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Roosevelt Field Mall, Garden City, NY",2010,88
9089,501,Gear,,Hero Factory: Rise of the Rookies - DVD,2010,0
9090,501,Gear,,Holiday Santa Magnet 2010,2010,6
9091,501,Gear,,Harry Potter: Years 1-4 Collector's Edition - PS3,2010,8
9092,501,Gear,,Harry Potter: Years 1-4 Collector's Edition - Wii,2010,8
9093,501,Gear,,Harry Potter: Years 1-4 Collector's Edition - Xbox 360,2010,8
9094,403,Villains,400.0,Von Nebula,2010,156
9095,501,Gear,,Harry Potter: Years 1-4 - PSP,2010,0
9096,259,NXT,258.0,Mindstorms Education Resource Set,2010,819
9097,259,NXT,258.0,NXT Color Sensor,2010,1
9098,259,NXT,258.0,"Rechargeable Battery for Lego Mindstorms NXT, DC plug",2010,1
9099,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Queens Center Mall, Elmhurst, NY",2010,95
9100,58,Fire,52.0,Fire Helicopter,2010,342
9101,58,Fire,52.0,Fire Boat,2010,307
9102,501,Gear,,Harry Potter: Years 1-4 - PC DVD-ROM,2010,0
9103,196,Kingdoms,186.0,Court Jester,2010,22
9104,536,Series 1 Minifigures,535.0,Caveman,2010,6
9105,536,Series 1 Minifigures,535.0,Circus Clown,2010,6
9106,58,Fire,52.0,Fire Station,2010,664
9107,401,Heroes,400.0,Mark Surge,2010,19
9108,19,Supplemental,1.0,Linear Actuators,2010,3
9109,401,Heroes,400.0,Jimi Stringer,2010,17
9110,401,Heroes,400.0,Dunkan Bulk and Vapor,2010,89
9111,598,Promotional,,LEGO World Denmark Puzzle Promo 2010,2010,7
9112,409,Monthly Mini Model Build,408.0,Groundhog,2010,0
9113,59,Harbor,52.0,Seaplane,2010,102
9114,227,Christmas,206.0,Holiday Building Set,2010,85
9115,227,Christmas,206.0,Snowman,2010,64
9116,537,Series 2 Minifigures,535.0,Witch,2010,6
9117,537,Series 2 Minifigures,535.0,Circus Ringmaster,2010,6
9118,537,Series 2 Minifigures,535.0,Spartan Warrior,2010,8
9119,537,Series 2 Minifigures,535.0,Series 2 - Sealed Box,2010,0
9120,227,Christmas,206.0,Santa with Sleigh,2010,71
9121,537,Series 2 Minifigures,535.0,Series 2 - Complete - All Sets,2010,0
9122,58,Fire,52.0,Off-Road Fire Truck & Fireboat,2010,388
9123,37,Basic Set,22.0,Building Fun,2010,651
9124,401,Heroes,400.0,Natalie Breez,2010,19
9125,401,Heroes,400.0,William Furno,2010,19
9126,252,Architecture,,The White House,2010,561
9127,252,Architecture,,Rockefeller Center,2010,240
9128,158,Star Wars,,X-wing Fighter - Mini,2010,61
9129,13,Riding Cycle,5.0,Motorbike,2010,467
9130,401,Heroes,400.0,Dunkan Bulk,2010,17
9131,537,Series 2 Minifigures,535.0,Explorer,2010,7
9132,398,FIRST LEGO League,,Body Forward Challenge Kit,2010,1515
9133,537,Series 2 Minifigures,535.0,Traffic Cop,2010,7
9134,37,Basic Set,22.0,Basic Bricks,2010,326
9135,37,Basic Set,22.0,Basic Bricks Limited Edition,2010,326
9136,12,Race,5.0,Race Truck,2010,608
9137,537,Series 2 Minifigures,535.0,Vampire,2010,7
9138,37,Basic Set,22.0,Deluxe Brick Box,2010,704
9139,53,Airport,52.0,Sports Plane,2010,105
9140,537,Series 2 Minifigures,535.0,Pharaoh,2010,6
9141,537,Series 2 Minifigures,535.0,Surfer,2010,6
9142,536,Series 1 Minifigures,535.0,Skater,2010,8
9143,506,Cars,504.0,Flo's Cafe,2010,32
9144,506,Cars,504.0,Mater's Yard,2010,16
9145,501,Gear,,The Adventures of Clutch Powers - DVD,2010,0
9146,501,Gear,,Exclusive Spaceman Magnet,2010,8
9147,501,Gear,,Imperial Soldier,2010,7
9148,536,Series 1 Minifigures,535.0,Robot,2010,6
9149,11,Off-Road,5.0,Buggy,2010,314
9150,506,Cars,504.0,Lightning McQueen,2010,11
9151,501,Gear,,Fire Chief,2010,7
9152,37,Basic Set,22.0,LEGO Creative Value Pack (TRU Exclusive),2010,0
9153,501,Gear,,Black Falcon,2010,7
9154,23,Basic Model,22.0,Jet,2010,43
9155,536,Series 1 Minifigures,535.0,Zombie,2010,6
9156,501,Gear,,Cavalry Colonel,2010,7
9157,506,Cars,504.0,Mack's Road Trip,2010,34
9158,536,Series 1 Minifigures,535.0,Demolition Dummy,2010,6
9159,536,Series 1 Minifigures,535.0,Magician,2010,7
9160,537,Series 2 Minifigures,535.0,Karate Master,2010,6
9161,22,Creator,,XXL Box,2010,1600
9162,537,Series 2 Minifigures,535.0,Disco Dude,2010,6
9163,537,Series 2 Minifigures,535.0,Skier,2010,9
9164,22,Creator,,Fun Favor Pack,2010,0
9165,537,Series 2 Minifigures,535.0,Pop Star,2010,6
9166,537,Series 2 Minifigures,535.0,Weightlifter,2010,8
9167,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, The Galleria, Houston, TX",2010,143
9168,1,Technic,,Technic Super Pack 4 in 1 (8049 8259 8260 8293),2010,0
9169,537,Series 2 Minifigures,535.0,Mariachi / Maraca Man,2010,9
9170,528,Supplemental,507.0,Doors Windows & Roof Tiles,2010,278
9171,528,Supplemental,507.0,Bricks,2010,884
9172,37,Basic Set,22.0,Car Building Set,2010,139
9173,37,Basic Set,22.0,House Building Set,2010,134
9174,537,Series 2 Minifigures,535.0,Series 2 - Random Bag,2010,0
9175,227,Christmas,206.0,Build a Bullseye Target Gift Card Promotional,2010,32
9176,158,Star Wars,,Republic Attack Shuttle - Mini,2010,54
9177,503,Key Chain,501.0,Shark Warrior Key Chain,2010,0
9178,315,Atlantis,,Portal of Atlantis,2010,1010
9179,533,Town,507.0,Space & Airport Set,2010,1183
9180,58,Fire,52.0,City Super Pack 3 in 1,2010,0
9181,58,Fire,52.0,City Super Pack 4 in 1,2010,0
9182,533,Town,507.0,Vehicles,2010,935
9183,158,Star Wars,,Star Wars Super Pack 3 in 1 (8014 8015 8091),2010,0
9184,196,Kingdoms,186.0,King's Castle,2010,933
9185,196,Kingdoms,186.0,Prison Tower Rescue,2010,365
9186,196,Kingdoms,186.0,Outpost Attack,2010,194
9187,196,Kingdoms,186.0,Prison Carriage Rescue,2010,50
9188,196,Kingdoms,186.0,Knight's Showdown,2010,61
9189,58,Fire,52.0,City Super Pack 4 in 1,2010,0
9190,158,Star Wars,,Star Wars Super Pack 3 in 1,2010,0
9191,158,Star Wars,,Star Wars Super Pack 3 in 1,2010,0
9192,158,Star Wars,,Star Wars Super Pack 3 in 1 (8083 8084 8092),2010,0
9193,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Somerset Collection, Troy, MI",2010,103
9194,196,Kingdoms,186.0,Target Practice,2010,31
9195,196,Kingdoms,186.0,Attack Wagon,2010,36
9196,507,Educational and Dacta,,Identity and Landscape Kit,2010,1536
9197,535,Collectible Minifigures,,Vintage Minifigure Collection Vol. 5,2010,20
9198,400,Hero Factory,,Furno Bike,2010,165
9199,400,Hero Factory,,Drop Ship,2010,394
9200,63,Traffic,52.0,LEGO Truck,2010,278
9201,63,Traffic,52.0,Tank Truck,2010,222
9202,63,Traffic,52.0,Repair Truck,2010,123
9203,63,Traffic,52.0,Small Car,2010,43
9204,632,Town,504.0,Vet - Rabbit,2010,4
9205,315,Atlantis,,Shadow Snapper,2010,245
9206,632,Town,504.0,Vet - Dog,2010,4
