,root_theme_name,year,num_set_per_year
129,Other,2018,5
130,Legoland Parks,2018,3
131,System,2018,3
132,Super Heroes DC,2018,24
133,LEGO Exclusive,2018,3
134,Super Heroes Marvel,2018,19
135,Chinese Traditional Festivals,2018,1
136,Xtra,2018,8
137,Technic,2018,14
138,Duplo,2018,32
139,Classic,2018,12
140,Power Functions,2018,1
141,Gear,2018,133
142,Disney Princess,2018,9
143,Ninjago,2018,46
144,FIRST LEGO League,2018,3
145,LEGO Brand Store,2018,24
146,Collectible Minifigures,2018,77
147,Disney,2018,1
148,LEGO Ideas and CUUSOO,2018,4
149,Elves,2018,7
150,Promotional,2018,18
151,Architecture,2018,4
152,Creator,2018,19
153,Nexo Knights,2018,15
154,Unikitty!,2018,26
155,Books,2018,40
156,The LEGO Movie,2018,1
157,Minecraft,2018,10
158,Educational and Dacta,2018,3
159,Friends,2018,50
160,Harry Potter,2018,19
161,Jurassic World,2018,15
162,Modular Buildings,2018,1
163,Overwatch,2018,3
164,Town,2018,47
165,The Powerpuff Girls,2018,2
166,Speed Champions,2018,6
167,Brickheadz,2018,45
168,Seasonal,2018,13
169,Juniors,2018,18
170,Promotional,2017,1
171,Super Heroes Marvel,2017,16
172,Brickheadz,2017,22
173,LEGO Brand Store,2017,40
174,LEGO Exclusive,2017,9
175,Collectible Minifigures,2017,72
176,Modular Buildings,2017,1
177,Books,2017,28
178,Disney,2017,4
179,Speed Champions,2017,8
180,Architecture,2017,6
181,Educational and Dacta,2017,7
182,Pirates of the Caribbean,2017,1
183,Duplo,2017,35
184,Creator,2017,22
185,Gear,2017,177
186,LEGO Ideas and CUUSOO,2017,3
187,Technic,2017,14
188,Dimensions,2017,11
189,DC Super Hero Girls,2017,10
190,Town,2017,50
191,FIRST LEGO League,2017,2
192,Juniors,2017,18
193,Ninjago,2017,54
194,Classic,2017,7
195,Elves,2017,10
196,Seasonal,2017,18
197,Star Wars,2017,65
198,Nexo Knights,2017,42
199,Super Heroes DC,2017,42
200,Friends,2017,43
201,Disney Princess,2017,5
202,Other,2017,1
203,Minecraft,2017,9
204,Scooby-Doo,2016,1
205,Seasonal,2016,20
206,Brickheadz,2016,4
207,Super Heroes DC,2016,17
208,Architecture,2016,7
209,Technic,2016,12
210,Dimensions,2016,26
211,Star Wars,2016,63
212,Other,2016,1
213,Ghostbusters,2016,2
214,LEGO Ideas and CUUSOO,2016,4
215,Modular Buildings,2016,1
216,Town,2016,43
217,Disney,2016,6
218,LEGO Exclusive,2016,3
219,Elves,2016,13
220,Promotional,2016,9
221,Juniors,2016,11
222,Educational and Dacta,2016,29
223,Mixels,2016,30
224,Disney Princess,2016,8
225,DC Super Hero Girls,2016,2
226,Legoland Parks,2016,1
227,Ninjago,2016,38
228,FIRST LEGO League,2016,3
229,Bionicle,2016,20
230,Minecraft,2016,8
231,Gear,2016,117
232,Speed Champions,2016,8
233,Classic,2016,3
234,Angry Birds,2016,6
235,Books,2016,40
236,Sculptures,2016,1
237,Duplo,2016,38
238,Super Heroes Marvel,2016,18
239,Creator,2016,22
240,LEGO Brand Store,2016,28
241,Castle,2016,1
242,Friends,2016,49
243,Nexo Knights,2016,56
244,Collectible Minifigures,2016,83
245,Town,2015,40
246,Duplo,2015,42
247,Promotional,2015,11
248,Other,2015,3
249,Pirates,2015,8
250,Gear,2015,117
251,Friends,2015,49
252,Elves,2015,12
253,Educational and Dacta,2015,45
254,Technic,2015,13
255,Books,2015,31
256,Space,2015,1
257,Speed Champions,2015,9
258,Star Wars,2015,69
259,Juniors,2015,8
260,The LEGO Movie,2015,3
261,Super Heroes DC,2015,11
262,Scooby-Doo,2015,8
263,Minecraft,2015,4
264,Agents,2015,9
265,Classic,2015,10
266,Ninjago,2015,53
267,LEGO Brand Store,2015,20
268,Seasonal,2015,17
269,Collectible Minifigures,2015,58
270,Bionicle,2015,21
271,Disney Princess,2015,3
272,LEGO Exclusive,2015,3
273,Legends of Chima,2015,23
274,Modular Buildings,2015,5
275,Mixels,2015,37
276,Disney,2015,1
277,LEGO Ideas and CUUSOO,2015,6
278,FIRST LEGO League,2015,2
279,Dimensions,2015,31
280,Architecture,2015,3
281,Jurassic World,2015,9
282,Creator,2015,20
283,Super Heroes Marvel,2015,18
284,Duplo,2014,39
285,Agents,2014,6
286,LEGO Brand Store,2014,15
287,Super Heroes Marvel,2014,14
288,Super Heroes DC,2014,12
289,Juniors,2014,11
290,Gear,2014,137
291,Educational and Dacta,2014,23
292,Creator,2014,23
293,FIRST LEGO League,2014,1
294,Castle,2014,2
295,Star Wars,2014,45
296,Legends of Chima,2014,58
297,Space,2014,1
298,Collectible Minifigures,2014,60
299,Minecraft,2014,8
300,Ninjago,2014,10
301,Legoland Parks,2014,3
302,Architecture,2014,3
303,Fusion,2014,4
304,LEGO Exclusive,2014,5
305,The LEGO Movie,2014,27
306,Seasonal,2014,19
307,The Hobbit and Lord of the Rings,2014,7
308,Teenage Mutant Ninja Turtles,2014,10
309,Books,2014,24
310,Bionicle,2014,2
311,Town,2014,40
312,Technic,2014,11
313,Mixels,2014,30
314,Hero Factory,2014,18
315,Other,2014,2
316,LEGO Ideas and CUUSOO,2014,4
317,Friends,2014,45
318,Disney Princess,2014,7
319,Promotional,2014,8
320,Modular Buildings,2014,5
321,Books,2013,31
322,Pirates,2013,1
323,Modular Buildings,2013,1
324,The Lone Ranger,2013,8
325,Star Wars,2013,39
326,Power Functions,2013,2
327,Town,2013,39
328,Mindstorms,2013,16
329,Minecraft,2013,3
330,Educational and Dacta,2013,16
331,Friends,2013,31
332,Gear,2013,126
333,The Hobbit and Lord of the Rings,2013,13
334,LEGO Exclusive,2013,3
335,LEGO Brand Store,2013,23
336,Legends of Chima,2013,55
337,Hero Factory,2013,22
338,Promotional,2013,4
339,Duplo,2013,37
340,LEGO Ideas and CUUSOO,2013,1
341,FIRST LEGO League,2013,4
342,Technic,2013,12
343,Architecture,2013,4
344,Teenage Mutant Ninja Turtles,2013,9
345,Creator,2013,31
346,Super Heroes Marvel,2013,9
347,Collectible Minifigures,2013,61
348,Space,2013,12
349,Legoland Parks,2013,10
350,Ninjago,2013,7
351,Castle,2013,5
352,Seasonal,2013,25
353,Super Heroes DC,2013,11
354,Master Building Academy,2013,4
355,Gear,2012,145
356,Friends,2012,33
357,Star Wars,2012,42
358,FIRST LEGO League,2012,1
359,Hero Factory,2012,22
360,SpongeBob SquarePants,2012,2
361,Creator,2012,22
362,Educational and Dacta,2012,11
363,LEGO Ideas and CUUSOO,2012,2
364,Dino,2012,7
365,Collectible Minifigures,2012,76
366,Castle,2012,1
367,Master Building Academy,2012,8
368,Teenage Mutant Ninja Turtles,2012,3
369,Cars,2012,10
370,Books,2012,23
371,Service Packs,2012,1
372,Town,2012,41
373,Modular Buildings,2012,2
374,Monster Fighters,2012,14
375,Ninjago,2012,47
376,Architecture,2012,4
377,Seasonal,2012,16
378,Racers,2012,11
379,Technic,2012,10
380,The Hobbit and Lord of the Rings,2012,20
381,Super Heroes DC,2012,18
382,Duplo,2012,39
383,Promotional,2012,1
384,LEGO Brand Store,2012,33
385,LEGO Exclusive,2012,5
386,Super Heroes Marvel,2012,15
387,FIRST LEGO League,2011,1
388,Books,2011,13
389,SpongeBob SquarePants,2011,2
390,Town,2011,27
391,Pirates of the Caribbean,2011,16
392,Modular Buildings,2011,1
393,Super Heroes DC,2011,5
394,Ninjago,2011,43
395,Harry Potter,2011,8
396,Racers,2011,9
397,Atlantis,2011,5
398,Architecture,2011,5
399,LEGO Brand Store,2011,26
400,Seasonal,2011,22
401,Other,2011,7
402,Pharaoh's Quest,2011,9
403,Duplo,2011,33
404,Gear,2011,141
405,Cars,2011,18
406,Collectible Minifigures,2011,57
407,Creator,2011,28
408,Promotional,2011,1
409,LEGO Ideas and CUUSOO,2011,1
410,Castle,2011,4
411,Master Building Academy,2011,5
412,LEGO Exclusive,2011,3
413,Educational and Dacta,2011,7
414,Power Functions,2011,2
415,Hero Factory,2011,29
416,Star Wars,2011,32
417,Mindstorms,2011,6
418,Technic,2011,11
419,Space,2011,10
420,Other,2010,10
421,LEGO Brand Store,2010,25
422,Gear,2010,111
423,Seasonal,2010,15
424,Pirates,2010,1
425,Space,2010,5
426,Legoland Parks,2010,1
427,LEGO Exclusive,2010,2
428,Modular Buildings,2010,1
429,Mindstorms,2010,6
430,Service Packs,2010,1
431,Power Miners,2010,4
432,Hero Factory,2010,15
433,Harry Potter,2010,6
434,Educational and Dacta,2010,19
435,Castle,2010,11
436,Creator,2010,27
437,Books,2010,5
438,Prince of Persia,2010,6
439,Duplo,2010,41
440,Town,2010,37
441,Architecture,2010,2
442,Promotional,2010,1
443,FIRST LEGO League,2010,1
444,Atlantis,2010,19
445,Toy Story,2010,15
446,Bionicle,2010,6
447,Universe,2010,2
448,Technic,2010,12
449,Ben 10,2010,6
450,Star Wars,2010,30
451,Racers,2010,27
452,Collectible Minifigures,2010,39
453,Seasonal,2009,12
454,Power Functions,2009,8
455,LEGO Exclusive,2009,2
456,Agents,2009,5
457,Power Miners,2009,19
458,Duplo,2009,35
459,Books,2009,7
460,SpongeBob SquarePants,2009,2
461,Pirates,2009,10
462,Promotional,2009,5
463,LEGO Brand Store,2009,29
464,Architecture,2009,4
465,Indiana Jones,2009,7
466,Modular Buildings,2009,1
467,Other,2009,6
468,Exo-Force,2009,1
469,Castle,2009,6
470,Town,2009,39
471,Train,2009,1
472,Legoland Parks,2009,2
473,Bionicle,2009,29
474,Space,2009,12
475,Gear,2009,127
476,FIRST LEGO League,2009,1
477,Creator,2009,35
478,Racers,2009,36
479,Technic,2009,11
480,Educational and Dacta,2009,17
481,Collectible Minifigures,2009,5
482,Service Packs,2009,1
483,Mindstorms,2009,5
484,Star Wars,2009,37
485,Legoland Parks,2008,2
486,Creator,2008,32
487,Collectible Minifigures,2008,1
488,LEGO Brand Store,2008,6
489,Super Heroes DC,2008,5
490,Technic,2008,7
491,Mindstorms,2008,5
492,Belville,2008,4
493,Castle,2008,13
494,Space,2008,10
495,Racers,2008,23
496,Duplo,2008,28
497,LEGO Exclusive,2008,1
498,Educational and Dacta,2008,24
499,Town,2008,46
500,Other,2008,2
501,Seasonal,2008,3
502,Books,2008,3
503,Modular Buildings,2008,1
504,Power Functions,2008,7
505,FIRST LEGO League,2008,1
506,Agents,2008,8
507,SpongeBob SquarePants,2008,3
508,Factory,2008,3
509,Indiana Jones,2008,12
510,Bionicle,2008,36
511,Gear,2008,104
512,Architecture,2008,4
513,Exo-Force,2008,8
514,Star Wars,2008,24
515,Mindstorms,2007,6
516,Sports,2007,1
517,Sculptures,2007,2
518,FIRST LEGO League,2007,1
519,Racers,2007,24
520,Creator,2007,47
521,Space,2007,9
522,Train,2007,1
523,Seasonal,2007,3
524,Factory,2007,1
525,Educational and Dacta,2007,24
526,Duplo,2007,35
527,Harry Potter,2007,1
528,Technic,2007,6
529,LEGO Exclusive,2007,1
530,Star Wars,2007,17
531,Other,2007,1
532,Castle,2007,9
533,Bionicle,2007,35
534,Belville,2007,3
535,SpongeBob SquarePants,2007,2
536,Super Heroes DC,2007,2
537,Exo-Force,2007,22
538,Modular Buildings,2007,2
539,Legoland Parks,2007,2
540,Aquazone,2007,9
541,Town,2007,33
542,Gear,2007,143
543,Train,2006,2
544,Gear,2006,82
545,Creator,2006,38
546,Sports,2006,3
547,Castle,2006,12
548,Belville,2006,3
549,Clikits,2006,7
550,Star Wars,2006,11
551,Seasonal,2006,3
552,Legoland Parks,2006,4
553,Technic,2006,9
554,Bionicle,2006,48
555,Duplo,2006,39
556,Educational and Dacta,2006,12
557,Exo-Force,2006,16
558,Other,2006,2
559,LEGO Brand Store,2006,1
560,SpongeBob SquarePants,2006,3
561,Town,2006,25
562,Super Heroes DC,2006,8
563,Quatro,2006,4
564,X-Pod,2006,5
565,Avatar,2006,2
566,Bulk Bricks,2006,2
567,FIRST LEGO League,2006,1
568,Racers,2006,24
569,Vikings,2006,2
570,Dino Attack,2006,2
571,Dino 2010,2006,1
572,Mindstorms,2006,15
573,Books,2005,1
574,Quatro,2005,1
575,Bulk Bricks,2005,1
576,Town,2005,31
577,Castle,2005,29
578,Bionicle,2005,40
579,Train,2005,3
580,Clikits,2005,22
581,Belville,2005,5
582,Dino 2010,2005,5
583,Primo,2005,3
584,Other,2005,4
585,X-Pod,2005,4
586,Super Heroes Marvel,2005,1
587,LEGO Exclusive,2005,1
588,FIRST LEGO League,2005,1
589,Duplo,2005,46
590,Factory,2005,3
591,Racers,2005,30
592,Harry Potter,2005,5
593,Dino Attack,2005,5
594,Technic,2005,6
595,Seasonal,2005,11
596,Vikings,2005,5
597,Legoland Parks,2005,2
598,Gear,2005,31
599,Creator,2005,31
600,Educational and Dacta,2005,12
601,Star Wars,2005,28
602,Designer Sets,2005,10
603,Star Wars,2004,22
604,Harry Potter,2004,14
605,Model Team,2004,1
606,Train,2004,4
607,Seasonal,2004,11
608,FIRST LEGO League,2004,1
609,Sports,2004,15
610,Alpha Team,2004,8
611,Primo,2004,2
612,Gear,2004,37
613,X-Pod,2004,15
614,4 Juniors,2004,16
615,Other,2004,6
616,Educational and Dacta,2004,13
617,Clikits,2004,37
618,Legoland Parks,2004,2
619,Castle,2004,31
620,Belville,2004,8
621,Creator,2004,19
622,Quatro,2004,6
623,Designer Sets,2004,15
624,Mindstorms,2004,2
625,Racers,2004,21
626,Technic,2004,7
627,Bionicle,2004,47
628,Duplo,2004,49
629,Bulk Bricks,2004,10
630,Super Heroes Marvel,2004,6
631,Town,2004,17
632,Adventurers,2003,28
633,Bionicle,2003,63
634,4 Juniors,2003,10
635,Belville,2003,11
636,Alpha Team,2003,1
637,Other,2003,2
638,Universal Building Set,2003,1
639,Seasonal,2003,9
640,Train,2003,15
641,Castle,2003,1
642,Island Xtreme Stunts,2003,3
643,Super Heroes Marvel,2003,5
644,Duplo,2003,35
645,Inventor,2003,4
646,Primo,2003,6
647,Technic,2003,6
648,Discovery,2003,8
649,Designer Sets,2003,19
650,Creator,2003,16
651,FIRST LEGO League,2003,1
652,Gear,2003,61
653,Hobby Sets,2003,1
654,Legoland Parks,2003,3
655,Educational and Dacta,2003,20
656,Clikits,2003,18
657,Bulk Bricks,2003,31
658,Harry Potter,2003,3
659,Racers,2003,26
660,Mindstorms,2003,2
661,Town,2003,12
662,Sports,2003,61
663,Sculptures,2003,4
664,Star Wars,2003,29
665,Star Wars,2002,25
666,Seasonal,2002,8
667,Island Xtreme Stunts,2002,10
668,Spybotics,2002,4
669,Alpha Team,2002,16
670,FIRST LEGO League,2002,1
671,Galidor,2002,20
672,Harry Potter,2002,19
673,Sports,2002,49
674,Primo,2002,6
675,Pirates,2002,1
676,Duplo,2002,46
677,Educational and Dacta,2002,104
678,Castle,2002,2
679,Train,2002,16
680,Racers,2002,27
681,Books,2002,1
682,Bulk Bricks,2002,23
683,Town,2002,8
684,Bionicle,2002,42
685,Mindstorms,2002,1
686,Space,2002,2
687,4 Juniors,2002,15
688,Legoland Parks,2002,8
689,Belville,2002,7
690,Creator,2002,14
691,Western,2002,4
692,Technic,2002,9
693,Universal Building Set,2002,2
694,Super Heroes Marvel,2002,3
695,Studios,2002,6
696,Gear,2002,53
697,Sculptures,2001,1
698,Scala,2001,4
699,Racers,2001,16
700,Seasonal,2001,5
701,4 Juniors,2001,13
702,Pirates,2001,4
703,Star Wars,2001,12
704,Educational and Dacta,2001,12
705,Other,2001,1
706,Duplo,2001,56
707,Technic,2001,14
708,Dinosaurs,2001,13
709,Creator,2001,21
710,Castle,2001,1
711,Town,2001,5
712,Bulk Bricks,2001,17
713,Train,2001,38
714,Universal Building Set,2001,1
715,Bionicle,2001,45
716,Belville,2001,5
717,Alpha Team,2001,6
718,Adventurers,2001,1
719,FIRST LEGO League,2001,1
720,Studios,2001,46
721,Legoland Parks,2001,1
722,Gear,2001,38
723,Mindstorms,2001,2
724,Space,2001,25
725,Sports,2001,3
726,Harry Potter,2001,11
727,Service Packs,2001,2
728,Belville,2000,5
729,Service Packs,2000,1
730,Value Packs,2000,1
731,Legoland Parks,2000,2
732,Universal Building Set,2000,11
733,Space,2000,1
734,Books,2000,2
735,Ninja,2000,4
736,Bulk Bricks,2000,52
737,Rock Raiders,2000,9
738,Adventurers,2000,19
739,Town,2000,34
740,Castle,2000,21
741,Mindstorms,2000,3
742,Seasonal,2000,6
743,Disney's Mickey Mouse,2000,5
744,Promotional,2000,4
745,Star Wars,2000,23
746,Gear,2000,34
747,Primo,2000,4
748,FIRST LEGO League,2000,1
749,Educational and Dacta,2000,10
750,Studios,2000,4
751,Sculptures,2000,2
752,Scala,2000,11
753,Sports,2000,25
